221.0,"[array([ 7.01361, 43.92083]), array([ 7.265609, 43.727527]), array([ 7.106688, 43.571277]), array([ 6.92528, 43.65806]), array([ 7.14833, 43.66361]), array([ 7.19333, 43.7725 ])]"
222.0,"[array([ 1.23, 45.65]), array([ 1.23, 45.65]), array([ 1.13611, 45.79639]), array([ 0.90111, 45.88722]), array([ 1.49472, 45.615  ]), array([ 1.60611, 45.71278]), array([ 1.23861, 45.87611]), array([ 1.7425 , 45.73889]), array([ 1.18722, 45.67833])]"
227.0,"[array([-4.081972, 48.01535 ]), array([-4.1746883, 47.972847 ])]"
230.0,"[array([-0.990142, 46.688815]), array([-1.531077, 47.193   ]), array([-1.585313, 47.210024]), array([-1.56802 , 47.229635]), array([-1.564849, 47.231876])]"
233.0,"[array([ 2.1203399, 48.80473  ]), array([ 2.294426, 48.85825 ]), array([ 2.3488748, 48.858032 ])]"
235.0,"[array([ 2.001922, 49.485658]), array([ 2.068364, 49.460142]), array([ 2.04278, 49.48   ]), array([ 2.08251 , 49.430237])]"
236.0,"[array([ 0.75306, 49.61694]), array([ 1.1025 , 49.44306])]"
238.0,"[array([ 1.09, 49.44]), array([ 0.75306, 49.61694])]"
241.0,"[array([-1.96861, 47.41194]), array([-1.57774 , 47.255495]), array([-1.618234, 47.254303]), array([-1.491442, 47.188815]), array([-1.552647, 47.20318 ])]"
242.0,"[array([ 0.76556, 49.08861])]"
243.0,"[array([ 0.40333, 49.52778]), array([ 0.10806, 49.49417]), array([ 0.23306, 49.50528])]"
244.0,"[array([ 0.76556, 49.08861]), array([ 1.1525 , 49.02333]), array([ 1.44556, 49.09611])]"
245.0,"[array([-0.76889, 48.60333]), array([-0.88917, 48.83861])]"
250.0,"[array([ 3.0575 , 50.63194]), array([ 1.11944, 49.47   ])]"
251.0,"[array([-8.928451, 39.648903])]"
253.0,"[array([ 2.29778, 49.89194]), array([ 2.0875 , 49.43417])]"
255.0,"[array([-1.424991, 46.96796 ]), array([-1.5209383, 47.187363 ])]"
257.0,"[array([-73.498022,  45.474845]), array([ 1.485311, 48.441734])]"
258.0,"[array([ 4.3675 , 49.50972]), array([ 4.71944, 49.76   ])]"
260.0,"[array([ 6.033622, 49.010576]), array([ 6.054416, 48.902407])]"
261.0,"[array([ 7.205785, 43.65986 ]), array([ 7.19222, 43.82222]), array([ 6.89361, 43.95611]), array([ 6.72639, 43.84833]), array([ 6.92528, 43.65806]), array([ 6.97194, 43.62   ]), array([ 7.057023, 43.620743]), array([ 7.09556, 43.62861]), array([ 7.12306, 43.58   ]), array([ 7.12139, 43.65806]), array([ 7.26833, 43.70194]), array([ 7.205785, 43.65986 ])]"
262.0,"[array([ 7.205785, 43.65986 ]), array([ 7.35667, 43.83444]), array([ 7.51444, 43.93722]), array([ 7.205785, 43.65986 ])]"
263.0,"[array([ 7.31389, 43.81194]), array([ 7.265609, 43.727527]), array([ 7.205785, 43.65986 ]), array([ 7.31389, 43.81194])]"
264.0,"[array([ 7.14333, 43.74639]), array([ 7.26833, 43.70194]), array([ 7.12139, 43.65806]), array([ 7.12306, 43.58   ]), array([ 7.02139, 43.5525 ]), array([ 7.14333, 43.74639])]"
265.0,"[array([ 7.27583, 43.78667]), array([ 7.26833, 43.70194]), array([ 7.27583, 43.78667])]"
266.0,"[array([ 7.27583, 43.78667]), array([ 7.26833, 43.70194]), array([ 7.12139, 43.65806]), array([ 7.09556, 43.62861]), array([ 7.057023, 43.620743]), array([ 7.27583, 43.78667])]"
267.0,"[array([-1.424991, 46.96796 ]), array([-1.5209383, 47.187363 ])]"
271.0,"[array([ 2.43972, 44.92528]), array([ 2.51806, 49.00417]), array([ 2.301438, 48.868353]), array([ 2.21694, 48.92556]), array([ 2.44, 44.92])]"
272.0,"[array([ 6.86306, 43.88806]), array([ 6.86306, 43.88806]), array([ 6.89361, 43.95611])]"
273.0,"[array([ 7.27583, 43.78667]), array([ 7.19222, 43.82222]), array([ 7.27583, 43.78667])]"
274.0,"[array([-1.480503, 47.296634]), array([-0.77   , 48.07278])]"
276.0,"[array([ 2.13417, 48.80472]), array([ 2.331781, 48.88886 ])]"
278.0,"[array([-1.60528, 47.365  ]), array([-1.55389, 47.21722])]"
279.0,"[array([ 7.12139, 43.65806]), array([ 7.205785, 43.65986 ]), array([ 7.205785, 43.65986 ]), array([ 7.12306, 43.58   ]), array([ 6.97194, 43.62   ]), array([ 6.92528, 43.65806]), array([ 7.26833, 43.70194])]"
283.0,"[array([-0.819511, 48.600707]), array([-0.89, 48.83])]"
284.0,"[array([ 6.86306, 43.88806]), array([ 6.89361, 43.95611]), array([ 6.86306, 43.88806])]"
287.0,"[array([-52.64278,   5.15833]), array([-52.335  ,   4.93861])]"
288.0,"[array([ 5.22806, 46.20472]), array([ 5.31722, 46.06   ])]"
291.0,"[array([ 1.53833, 44.72583]), array([ 1.44, 44.45]), array([ 1.45389, 44.52361]), array([ 1.47417, 44.89778])]"
296.0,"[array([ 7.22917, 47.88583]), array([ 7.13028, 47.94667]), array([ 7.21028, 47.9075 ]), array([ 7.030085, 47.923954])]"
300.0,"[array([-1.86667, 48.04778]), array([-1.84583, 48.07472]), array([-1.69611, 48.21722]), array([-1.78444, 48.05417]), array([-1.94417, 48.17944])]"
302.0,"[array([ 2.520574, 48.433151]), array([ 2.710804, 48.411869]), array([ 2.635674, 48.409085]), array([ 2.467508, 48.404362])]"
303.0,"[array([-52.64278,   5.15833]), array([-54.046 ,   5.3422])]"
305.0,"[array([ 6.40611, 48.04556]), array([ 6.171739, 48.66702 ]), array([ 6.589353, 48.220918])]"
306.0,"[array([-52.64278,   5.15833]), array([-52.335  ,   4.93861]), array([-54.046 ,   5.3422])]"
309.0,"[array([ 6.89361, 43.95611]), array([ 6.86306, 43.88806]), array([ 6.86306, 43.88806])]"
311.0,"[array([ 1.48833, 48.44667]), array([ 1.36056, 48.72083])]"
312.0,"[array([ 2.8325 , 50.43139]), array([ 2.84278, 50.53194]), array([ 3.0575 , 50.63194])]"
314.0,"[array([ 6.589353, 48.220918]), array([ 5.703824, 48.358199])]"
320.0,"[array([ 7.02139, 43.5525 ]), array([ 7.02139, 43.5525 ])]"
322.0,"[array([-0.76889, 48.60333]), array([-1.35   , 48.90972]), array([-1.44528, 49.04528]), array([-1.45694, 48.7525 ]), array([-1.35694, 48.68444]), array([-1.28917, 48.61917]), array([-1.17139, 48.61889]), array([-1.32472, 48.52278]), array([-1.2    , 48.35167]), array([-1.09194, 48.57778]), array([-1.24056, 49.09889])]"
324.0,"[array([-0.24694, 46.64861]), array([-1.154898, 46.172268])]"
325.0,"[array([ 4.8002, 50.55  ]), array([ 4.86667, 50.46667])]"
326.0,"[array([ 7.18417, 43.94694]), array([ 7.26833, 43.70194])]"
328.0,"[array([ 7.32278, 48.4925 ]), array([ 7.22, 48.48])]"
330.0,"[array([ 7.18417, 43.94694]), array([ 7.26833, 43.70194])]"
331.0,"[array([ 6.12944, 45.89917]), array([ 6.1075 , 46.03417])]"
336.0,"[array([ 7.205785, 43.65986 ]), array([ 7.19222, 43.82222]), array([ 6.89361, 43.95611]), array([ 6.51333, 43.84667]), array([ 6.92528, 43.65806]), array([ 7.205785, 43.65986 ])]"
337.0,"[array([ 7.205785, 43.65986 ]), array([ 7.19222, 43.82222]), array([ 6.89361, 43.95611]), array([ 6.75778, 43.86528]), array([ 6.72639, 43.84833]), array([ 6.92528, 43.65806]), array([ 7.205785, 43.65986 ])]"
338.0,"[array([ 7.205785, 43.65986 ]), array([ 7.35667, 43.83444]), array([ 7.51444, 43.93722]), array([ 7.205785, 43.65986 ]), array([ 7.44833, 43.87694])]"
339.0,"[array([ 6.72639, 43.84833]), array([ 6.75778, 43.86528]), array([ 6.70167, 43.77417]), array([ 6.73111, 43.77917]), array([ 6.71028, 43.79667]), array([ 6.84778, 43.69889]), array([ 6.92528, 43.65806]), array([ 6.97194, 43.62   ]), array([ 6.72639, 43.84833])]"
340.0,"[array([ 6.72639, 43.84833]), array([ 6.89361, 43.95611]), array([ 6.72639, 43.84833])]"
344.0,"[array([ 1.24306, 49.36778]), array([ 1.40556, 49.28917]), array([ 1.447613, 49.246981]), array([ 1.40556, 49.28917])]"
345.0,"[array([ 6.92528, 43.65806]), array([ 6.85, 43.71])]"
347.0,"[array([ 4.01111, 46.24528]), array([ 4.84139, 45.75889])]"
348.0,"[array([ 4.853928, 45.763745]), array([ 4.89083, 44.9325 ])]"
349.0,"[array([ 0.59139, 49.65333]), array([ 0.75306, 49.61694])]"
357.0,"[array([-0.37056, 49.18222]), array([-0.32639, 49.20361]), array([-0.35306, 49.13833]), array([-0.25806, 49.14528])]"
363.0,"[array([ 6.72639, 43.84833]), array([ 7.205785, 43.65986 ])]"
368.0,"[array([ 6.847466, 43.719751]), array([ 6.92528, 43.65806]), array([ 6.972828, 43.664281])]"
369.0,"[array([ 0.10806, 49.49417]), array([-0.37056, 49.18222])]"
370.0,"[array([ 1.11944, 49.47   ]), array([ 1.08722, 49.4625 ])]"
372.0,"[array([ 2.62917, 50.19694]), array([ 2.854338, 50.274036])]"
375.0,"[array([ 5.576454, 50.645657]), array([ 6.01667, 50.41667]), array([ 5.5747004, 50.646538 ]), array([ 5.565147, 50.62709 ]), array([ 5.57, 50.64])]"
376.0,"[array([ 6.04417, 48.79028]), array([ 5.73222, 49.50111]), array([ 5.89583, 49.37028]), array([ 5.60056, 49.44694]), array([ 5.92861, 49.46972])]"
378.0,"[array([ 6.04417, 48.79028]), array([ 5.89583, 49.37028]), array([ 5.92861, 49.46972]), array([ 5.73222, 49.50111]), array([ 5.60056, 49.44694])]"
382.0,"[array([ 7.35667, 43.83444]), array([ 7.44833, 43.87694])]"
384.0,"[array([ 2.62917, 50.19694]), array([ 2.854338, 50.274036])]"
388.0,"[array([-1.50444, 49.2525 ]), array([-1.44528, 49.04528])]"
391.0,"[array([ 55.57, -21.2 ]), array([ 55.48, -21.25])]"
394.0,"[array([ 0.85028, 49.60222]), array([ 0.94389, 49.67444])]"
395.0,"[array([ 3.6375 , 50.24889]), array([ 3.525  , 50.35917])]"
401.0,"[array([-0.596445, 46.997807]), array([ 0.13157731, 49.478004  ])]"
405.0,"[array([-1.632608, 48.176877]), array([-1.609012, 48.112862])]"
409.0,"[array([ 5.919008, 45.8592  ]), array([ 5.93611, 45.90028])]"
411.0,"[array([ 1.33583, 43.61278]), array([ 2.29111, 43.66444])]"
413.0,"[array([-0.56528, 49.27778]), array([-0.325, 49.045]), array([-0.27306, 49.01167])]"
414.0,"[array([ 4.96528, 44.68167]), array([ 5.06222, 44.64583]), array([ 5.01111, 44.60194]), array([ 4.84611, 44.61028]), array([ 4.8225 , 44.75167]), array([ 5.02   , 44.89972]), array([ 4.975  , 44.83306]), array([ 5.03278, 44.76806]), array([ 5.02222, 44.72833])]"
417.0,"[array([ 7.26833, 43.70194]), array([ 6.72639, 43.84833])]"
418.0,"[array([ 7.177965, 43.746704])]"
425.0,"[array([ 1.44, 44.45])]"
427.0,"[array([ 0.38472, 43.8375 ]), array([ 1.28472, 43.61694]), array([ 1.53   , 43.52917]), array([ 1.44194, 43.60444])]"
428.0,"[array([ 2.47472, 48.43972]), array([ 2.3445  , 48.871085])]"
429.0,"[array([ 3.0575 , 50.63194])]"
435.0,"[array([ 3.0575 , 50.63194]), array([ 2.8325 , 50.43139])]"
437.0,"[array([ 3.265 , 50.1928]), array([ 3.55472, 50.36972])]"
440.0,"[array([ 4.75417, 45.67389]), array([ 4.842235, 45.745876])]"
444.0,"[array([ 5.68806, 45.75917]), array([ 5.59944, 45.97889]), array([ 5.30417, 45.97333]), array([ 5.37056, 45.885  ])]"
447.0,"[array([ 3.31944, 48.74194]), array([ 2.44306, 48.86028])]"
450.0,"[array([ 6.11556, 48.87028]), array([ 6.18361, 48.69278])]"
452.0,"[array([-0.96972, 48.16444]), array([-0.77   , 48.07278])]"
456.0,"[array([ 7.265609, 43.727527]), array([ 7.20248 , 43.681378]), array([ 7.31389, 43.81194])]"
465.0,"[array([ 3.71556, 43.98083]), array([ 3.55111, 43.65194])]"
466.0,"[array([-0.76889, 48.60333]), array([-1.09194, 48.57778]), array([-1.09194, 48.57778]), array([-1.09194, 48.57778]), array([-1.2    , 48.35167]), array([-1.17139, 48.61889]), array([-1.32472, 48.52278]), array([-1.28917, 48.61917]), array([-1.28917, 48.61917]), array([-1.09, 48.59]), array([-1.36, 48.68]), array([-1.45694, 48.7525 ]), array([-1.58694, 48.83806]), array([-1.58694, 48.83806]), array([-1.35   , 48.90972]), array([-1.2225 , 48.83861])]"
467.0,"[array([ 1.725  , 44.77889]), array([ 1.4525, 45.2175])]"
