id,idA,idB,tps_min,distance_km,cout,CO_g,COV_g,NOX_g,NH3_g,PB_g,SO2_g,PS_g,CO2_g,N2O_g,CH4_g,cout_collectif
473_17099,473,17099,714.4000000000001,328.0,363.23120000000006,24.599999999999998,11.48,72.48800000000001,0.6232000000000001,0.0013677599999999998,0.07872000000000001,0.2952000000000001,83285.10399999998,1.312,0.1074049145818241,3.404740646922544
473_17099,473,17099,312.83333333333337,314.989,259.61049843333336,118.120875,11.024615,261.755859,0.3779868,0.00131350413,0.07559736,12.8830501,79981.376902,2.834901,0.0626505765659207,5.883212963129608
3474_11444,3474,11444,312.83333333333337,314.989,259.61049843333336,118.120875,11.024615,261.755859,0.3779868,0.00131350413,0.07559736,12.8830501,79981.376902,2.834901,0.0626505765659207,5.883212963129608
3474_8680,3474,8680,312.83333333333337,314.989,259.61049843333336,118.120875,11.024615,261.755859,0.3779868,0.00131350413,0.07559736,12.8830501,79981.376902,2.834901,0.0626505765659207,5.883212963129608
3474_3182,3474,3182,312.83333333333337,314.989,259.61049843333336,118.120875,11.024615,261.755859,0.3779868,0.00131350413,0.07559736,12.8830501,79981.376902,2.834901,0.0626505765659207,5.883212963129608
3474_11444,3474,11444,318.59999999999997,143.232,138.1173024,10.7424,5.013120000000001,31.654272000000006,0.2721408,0.00059727744,0.03437568,0.12890880000000002,36369.182976000004,0.572928,0.03224239991673372,1.5021686245287869
3474_8680,3474,8680,382.91666666666663,237.234,192.56808546666667,17.792550000000002,8.303189999999999,52.428714,0.4507446000000001,0.00098926578,0.056936160000000006,0.21351060000000002,60237.982812,0.948936,0.03722585686170777,2.3969651876656948
3474_3182,3474,3182,447.0,242.813,210.86626660000002,18.210975,8.498455,53.66167299999999,0.4613447000000001,0.00101253021,0.05827511999999999,0.2185317,61654.591334,0.9712519999999999,0.06543095220880318,2.4606498505509258
3474_1338,3474,1338,418.95000000000005,221.99499999999998,195.355859,16.649625,7.769825,49.060894999999995,0.4217905,0.00092571915,0.053278799999999994,0.1997955,56368.526410000006,0.88798,0.05320021709127017,2.264725756929534
3474_1321,3474,1321,406.9666666666667,241.07999999999998,200.15052266666666,18.081,8.437800000000001,53.27868,0.458052,0.0010053036000000001,0.0578592,0.21697200000000003,61214.551439999996,0.9643200000000001,0.04285836448660778,2.422039324830482
3474_3418,3474,3418,432.21666666666664,350.44399999999996,251.10540746666663,26.2833,12.265540000000001,77.448124,0.6658435999999999,0.0014613514799999999,0.08410656,0.3153996,88984.03959200002,1.401776,0.045565376444890705,3.5816447134990335
3474_908,3474,908,427.33333333333337,371.111,258.32084353333335,27.833325,12.988885000000002,82.015531,0.7051108999999999,0.0015475328700000001,0.08906664,0.3339999,94231.76289799999,1.484444,0.04615089519408637,3.7556804092773177
3474_13012,3474,13012,410.98333333333335,293.899,222.71540513333332,22.042425,10.286465,64.951679,0.5584081,0.0012255588299999998,0.07053576,0.2645091,74626.246282,1.175596,0.0653639345359129,2.980526582535829
3474_1468,3474,1468,365.6166666666667,299.495,213.65802566666667,22.462125000000004,10.482325000000001,66.188395,0.5690405,0.00124889415,0.0718788,0.2695455,76047.17140999998,1.19798,0.04336511606136624,3.012443420725596
3474_15055,3474,15055,483.5666666666667,295.548,241.53436026666668,22.166099999999997,10.344180000000001,65.316108,0.5615411999999999,0.00123243516,0.07093152,0.2659932,75044.957064,1.182192,0.045078265646550916,2.9821943647321194
3474_13012,3474,13012,409.4333333333333,281.768,217.3760309333333,21.1326,9.86188,62.270728000000005,0.5353591999999999,0.00117497256,0.06762432,0.25359119999999996,71545.967024,1.127072,0.05932642493667991,2.8564532026805907
3474_8680,3474,8680,377.6166666666667,236.948,191.12634026666666,17.7711,8.29318,52.365508000000005,0.4502012000000001,0.00098807316,0.056867520000000005,0.21325320000000003,60165.362263999996,0.947792,0.03699375342832776,2.394120970673575
3474_908,3474,908,409.6166666666666,364.848,251.33512026666665,27.3636,12.769680000000001,80.63140800000001,0.6932112,0.00152141616,0.08756352,0.32836319999999997,92641.474464,1.459392,0.03514900338367057,3.6729018759128205
3474_11444,3474,11444,312.0,150.16,139.29531200000002,11.262000000000002,5.255600000000001,33.18536,0.28530400000000006,0.0006261671999999999,0.0360384,0.13514400000000001,38128.32688,0.60064,0.03242848073018537,1.5739674218885424
