id,idA,idB,tps_min,distance_km,cout,CO_g,COV_g,NOX_g,NH3_g,PB_g,SO2_g,PS_g,CO2_g,N2O_g,CH4_g,cout_collectif
3474_1466,3474,1466,408.43333333333334,315.19899999999996,230.77256513333333,23.639925,11.031965,69.658979,0.5988781,0.00131437983,0.07564776,0.2836791,80034.699682,1.260796,0.05514795155125605,3.290031895725842
3474_1131,3474,1131,429.0833333333333,327.528,240.96776293333335,24.5646,11.46348,72.383688,0.6223032000000001,0.00136579176,0.07860671999999999,0.2947752,83165.254704,1.3101120000000002,0.04602293248505783,3.2862340866832898
3474_946,3474,946,432.5333333333333,372.634,260.2425321333333,27.94755,13.042190000000002,82.35211400000001,0.7080046000000001,0.00155388378,0.08943216,0.33537059999999996,94618.480012,1.490536,0.03916997491503106,3.7497087685584285
3474_908,3474,908,406.1833333333334,364.972,250.52740373333333,27.3729,12.77402,80.658812,0.6934468,0.00152193324,0.08759328,0.3284748,92672.960296,1.459888,0.0371012063334558,3.674098935766504
3474_908,3474,908,411.71666666666664,363.311,251.23271686666664,27.248325,12.715885,80.29173100000001,0.6902909,0.0015150068700000002,0.08719464,0.3269799,92251.20249800001,1.453244,0.034544741274186025,3.6567717607385637
3474_908,3474,908,411.8333333333333,363.311,251.26188353333333,27.248325,12.715885,80.29173100000001,0.6902909,0.0015150068700000002,0.08719464,0.3269799,92251.20249800001,1.453244,0.034544741274186025,3.6567717607385637
3474_908,3474,908,411.15,364.387,251.5302734,27.329025,12.753544999999999,80.529527,0.6923353,0.0015194937900000001,0.08745288,0.32794829999999997,92524.41826600001,1.457548,0.03662078191156822,3.6680206266766975
3474_908,3474,908,410.6333333333333,364.387,251.40110673333334,27.329025,12.753544999999999,80.529527,0.6923353,0.0015194937900000001,0.08745288,0.32794829999999997,92524.41826600001,1.457548,0.03662078191156822,3.6680206266766975
3474_908,3474,908,410.6333333333333,364.387,251.40110673333334,27.329025,12.753544999999999,80.529527,0.6923353,0.0015194937900000001,0.08745288,0.32794829999999997,92524.41826600001,1.457548,0.03662078191156822,3.6680206266766975
3474_908,3474,908,410.65,364.387,251.4052734,27.329025,12.753544999999999,80.529527,0.6923353,0.0015194937900000001,0.08745288,0.32794829999999997,92524.41826600001,1.457548,0.03662078191156822,3.6680206266766975
3474_908,3474,908,410.65,364.387,251.4052734,27.329025,12.753544999999999,80.529527,0.6923353,0.0015194937900000001,0.08745288,0.32794829999999997,92524.41826600001,1.457548,0.03662078191156822,3.6680206266766975
3474_8680,3474,8680,384.26666666666665,236.948,192.78884026666668,17.7711,8.29318,52.365508000000005,0.4502012000000001,0.00098807316,0.056867520000000005,0.21325320000000003,60165.362263999996,0.947792,0.036993753428327766,2.394120970673575
3474_13012,3474,13012,416.26666666666665,345.01800000000003,244.90301426666667,25.876350000000002,12.075629999999999,76.24897800000001,0.6555342,0.0014387250599999998,0.08280432,0.3105162,87606.28052399999,1.3800720000000002,0.04962797638984173,3.498960050065903
3474_13012,3474,13012,414.6166666666667,346.925,245.26895166666668,26.019375,12.142375000000001,76.67042500000001,0.6591575,0.0014466772499999998,0.083262,0.31223249999999997,88090.50215,1.3877,0.05484908547994484,3.5154609623374973
3474_13012,3474,13012,413.56666666666666,346.925,245.0064516666667,26.019375,12.142375000000001,76.67042500000001,0.6591575,0.0014466772499999998,0.083262,0.31223249999999997,88090.50215,1.3877,0.05484882333005074,3.5183876388051
3474_13012,3474,13012,412.98333333333335,346.925,244.86061833333335,26.019375,12.142375000000001,76.67042500000001,0.6591575,0.0014466772499999998,0.083262,0.31223249999999997,88090.50215,1.3877,0.05484882333005074,3.5183876388051
3474_13012,3474,13012,416.85,345.01800000000003,245.04884760000002,25.876350000000002,12.075629999999999,76.24897800000001,0.6555342,0.0014387250599999998,0.08280432,0.3105162,87606.28052399999,1.3800720000000002,0.04963001363870574,3.498968668168985
3474_8680,3474,8680,383.5166666666667,236.948,192.60134026666668,17.7711,8.29318,52.365508000000005,0.4502012000000001,0.00098807316,0.056867520000000005,0.21325320000000003,60165.362263999996,0.947792,0.03699375342832776,2.394120970673575
3474_8680,3474,8680,383.55,236.948,192.6096736,17.7711,8.29318,52.365508000000005,0.4502012000000001,0.00098807316,0.056867520000000005,0.21325320000000003,60165.362263999996,0.947792,0.036993753428327766,2.394120970673575
3474_8680,3474,8680,383.55,236.948,192.6096736,17.7711,8.29318,52.365508000000005,0.4502012000000001,0.00098807316,0.056867520000000005,0.21325320000000003,60165.362263999996,0.947792,0.036993753428327766,2.394120970673575
3474_8680,3474,8680,383.55,236.948,192.6096736,17.7711,8.29318,52.365508000000005,0.4502012000000001,0.00098807316,0.056867520000000005,0.21325320000000003,60165.362263999996,0.947792,0.036993753428327766,2.394120970673575
